nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PS. Cibogo,Ciliwung,-6.657083,106.878083,01/02/2018 00:00,480,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,31/01/2018 23:50,460,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,31/01/2018 23:50,990,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,31/01/2018 23:50,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,31/01/2018 23:50,6420,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,31/01/2018 23:50,550,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,31/01/2018 23:50,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,31/01/2018 23:50,3480,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,31/01/2018 23:50,1110,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,31/01/2018 23:50,1670,Normal
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,31/01/2018 23:50,-1950,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,31/01/2018 23:50,480,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,31/01/2018 23:50,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,31/01/2018 23:50,-100,Normal
PS. Sunter Hulu,Sunter,,,01/02/2018 00:00,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,31/01/2018 23:50,3260,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,31/01/2018 23:50,430,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,25/01/2018 00:10,870,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,30/01/2018 20:30,2840,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,31/01/2018 23:50,1900,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,31/01/2018 23:50,2940,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,31/01/2018 23:50,1260,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,31/01/2018 23:50,1410,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,31/01/2018 23:50,1490,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,01/02/2018 00:10,480,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,01/02/2018 00:00,460,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,01/02/2018 00:00,1000,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,01/02/2018 00:00,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,01/02/2018 00:00,6410,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,01/02/2018 00:00,540,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,01/02/2018 00:00,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,01/02/2018 00:00,3460,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,01/02/2018 00:00,1170,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,01/02/2018 00:00,1680,Normal
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,01/02/2018 00:00,-1960,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,01/02/2018 00:00,480,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,01/02/2018 00:00,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,01/02/2018 00:00,-100,Normal
PS. Sunter Hulu,Sunter,,,01/02/2018 00:10,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,01/02/2018 00:00,3260,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,01/02/2018 00:00,440,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,25/01/2018 00:10,870,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,30/01/2018 20:30,2840,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,01/02/2018 00:00,1900,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,01/02/2018 00:00,2940,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,01/02/2018 00:00,1260,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,01/02/2018 00:00,1410,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,01/02/2018 00:00,1480,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,01/02/2018 00:20,470,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,01/02/2018 00:10,460,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,01/02/2018 00:00,1000,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,01/02/2018 00:10,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,01/02/2018 00:10,6410,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,01/02/2018 00:10,540,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,01/02/2018 00:10,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,01/02/2018 00:10,3430,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,01/02/2018 00:10,1130,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,01/02/2018 00:10,1680,Normal
